id,title,link,published,summary,author
71,Festeja el FCE al estilo '4T',http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760903,"Wed, 04 Sep 2019 05:02:28 CDT","En 85 aniversario del FCE, la verdadera festejada no fue la editorial, sino el Gobierno actual con arengas a favor de las causas de la '4T'.",Francisco Morales V.
72,Pierde un aliado la OFEQ,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760898,"Wed, 04 Sep 2019 05:13:00 CDT","La Filarmónica de Querétaro cierra filas en torno a su aún director, Ludwig Carrasco, quien permanecerá como su batuta hasta diciembre.",Erika P. Bucio
73,Apuestan por literatura nacional y joven,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760917,"Tue, 03 Sep 2019 23:08:15 CDT",Una antología general de José Emilio Pacheco y varias obras ilustradas integran las novedades editoriales de Océano.,Israel Sánchez
74,Minimizan daños en obras en museo de Edomex,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760492,"Tue, 03 Sep 2019 15:21:54 CDT","Tras denuncias de daños en cuadros de Leopoldo Flores exhibidos en Museo de Bellas Artes de Edomex, SC estatal afirmó que son superficiales.",Montserrat Peñaloza
75,Arremete Taibo II contra críticos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760773,"Tue, 03 Sep 2019 19:43:20 CDT",Paco Ignacio Taibo II aprovechó el 85 aniversario del FCE para rendir su informe de siete meses en el cargo y fustigar a sus críticos.,Francisco Morales V.
76,Falleció Elisa García Barragán,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760745,"Tue, 03 Sep 2019 19:17:25 CDT","Elisa García Barragán, estudiosa del arte, la historia y la literatura mexicanas, falleció este martes, informó el INBA.",REFORMA/ Redacción
77,Intelectuales deben ayudar en transformación.- AMLO,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760711,"Tue, 03 Sep 2019 18:25:09 CDT",López Obrador afirmó que se necesita que los intelectuales también ayuden en los procesos de transformación del País.,Zedryk Raziel y Francisco Morales V.
78,Un poeta de la memoria,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759969,"Tue, 03 Sep 2019 05:06:42 CDT","David Huerta, ganador del Premio FIL de Literatura en Lenguas Romances 2019, afirma que no hay arte sin memoria.",Erika P. Bucio
79,Homenajearán a Celso Piña en Los Pinos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760180,"Tue, 03 Sep 2019 09:10:01 CDT","La Secretaria de Cultura, Alejandra Frausto, informó que el 15 de septiembre se hará un homenaje a Celso Piña en Los Pinos.",Claudia Guerrero
80,Presume AMLO becas Conacyt... y nada más,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1758868,"Sun, 01 Sep 2019 14:46:39 CDT","La política científica faltó en el mensaje de AMLO por su Informe de Gobierno, pues apenas mencionó la entrega de becas por el Conacyt.",Israel Sánchez
81,La ciencia en Astrocopla,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1758033,"Sat, 31 Aug 2019 05:02:14 CDT","Proyecto Astrocopla, que se presentará en México, divulga aspectos de física y astronomía a través de la copla, género tradicional español.",Israel Sánchez
82,Logran mexicanos lo que ni Newton pudo,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1753665,"Mon, 26 Aug 2019 05:01:36 CDT",Genios como Descartes y Newton habían buscado solución al defecto de aberración esférico; dos jóvenes mexicanos dieron con dicha ecuación.,Israel Sánchez
83,"Una agencia espacial, ¿para qué?",http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1748779,"Mon, 19 Aug 2019 05:01:31 CDT","Agencia Espacial Mexicana, que entró en operaciones en 2013, trabaja en el desarrollo de equipos satelitales con talento de universitarios.",Israel Sánchez
84,"AEM, agencia espacial de 'papel'",http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1750286,"Wed, 21 Aug 2019 05:01:30 CDT","Impulsores del proyecto original de la AEM consideraron que cuando se concibió la Agencia había expectativas altas, pero sólo quedó en eso.",Israel Sánchez
85,Exigen claridad al Conacyt,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1752774,"Sat, 24 Aug 2019 05:02:30 CDT","Postulantes acusaron que existen anomalías en evaluación, dictaminación y aprobación de apoyos en Conacyt y que no ha asignado 205 becas.",Israel Sánchez
86,Critican a titular del SNI del Conacyt,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1753079,"Sat, 24 Aug 2019 12:33:07 CDT",Antonio Lazcano criticó al director del Sistema de Investigadores del Conacyt por tener el cargo con limitada experiencia en investigación.,REFORMA/Redacción
87,Ojalá que nos oigan.- Mario Molina,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1750319,"Tue, 20 Aug 2019 21:24:22 CDT",Mario Molina prevé un acercamiento con el Gobierno para convencerlo en usar energías renovables en vez de mirar hacia combustibles fósiles.,Yanireth Israde
88,Despiden a glaciar que desapareció en Islandia,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1748667,"Sun, 18 Aug 2019 19:12:01 CDT","Profesores y científicos colocaron una placa en Islandia en honor a Okjökull, primer glaciar del país perdido por el cambio climático.",REFORMA / Redacción
